wine_fest_name,vivino_name,winery,rating,num_ratings,match_confidence
Fat Bastard Cabernet Sauvignon,Cabernet Sauvignon,Fat Bastard (Thierry & Guy),3.3,3333,0.7894736842105263
Gabriel Meffre Hommage,Hommage Côtes-du-Rhône Rouge,Gabriel Meffre,3.5,47,0.676923076923077
"Gabriel Meffre Plan de Dieu ""Saint-Mapalis""",Saint-Mapalis Côtes-du-Rhône-Villages 'Plan de Dieu',Gabriel Meffre,3.5,918,0.509090909090909
Gancia 1850 Prosecco Dry DOC,Prosecco Dry,Gancia,3.9,804,0.8085106382978723
Gancia Moscato D'Asti,Moscato d'Asti,Gancia,3.8,932,0.9523809523809523
Gancia Rosé Brut,Rosé Spumante Brut,Gancia,3.3,380,0.7804878048780488
3G Chardonnay Sushi Wine,,,0.0,0,0.0
3G Sauvignon Blanc Fish Wine,,,0.0,0,0.0
3G Malbec Steak & BBQ Wine,,,0.0,0,0.0
3G Zinfandel Burger Wine,,,0.0,0,0.0
Gray Monk Pinot Gris,Pinot Gris,Gray Monk,4,1010,1.0
Gray Monk Gewürztraminer,Gewürztraminer,Gray Monk,4,435,1.0
Gray Monk Pinot Noir,Pinot Noir,Gray Monk,3.6,925,1.0
Gray Monk Cabernet Merlot,Cabernet - Merlot,Gray Monk,3.8,187,0.9615384615384616
Heartland Stickleback,Stickleback Red,Heartland,3.6,3046,0.9130434782608695
Heartland Shiraz,Shiraz,Heartland,3.8,4393,1.0
Heartland Heart & Soil Cabernet Sauvignon,,,0.0,0,0.0
Heartland Director's Cut Cabernet Sauvignon,Director's Cut Cabernet Sauvignon,Heartland,4.1,721,1.0
Deinhard 1794 Riesling Moscato,Riesling - Moscato,Deinhard,3.6,138,0.8771929824561403
Deinhard Green Label Riesling,Green Label Riesling,Deinhard,3.7,2041,1.0
Henkell Trocken Sekt,Trocken Dry-Sec,Henkell,3.2,4351,0.8372093023255814
Henkell Rosé Sekt,Rosé Dry-Sec,Henkell,3.3,626,0.7368421052631579
Liberty School Cabernet Sauvignon,Cabernet Sauvignon,Liberty School,3.8,18822,1.0
Austin Hope Cabernet Sauvignon,Cabernet Sauvignon,Austin Hope,4.5,6800,1.0
Treana Cabernet Sauvignon,Cabernet Sauvignon,Treana,4.2,3358,1.0
Jacob's Creek Dots Pinot Grigio,Classic Shiraz - Cabernet,Jacob's Creek,3.3,14471,0.42857142857142855
Jacob's Creek Dots Moscato Rosé,Classic Shiraz - Cabernet,Jacob's Creek,3.3,14471,0.42857142857142855
Jacob's Creek Double Barrel Chardonnay,Double Barrel Chardonnay,Jacob's Creek,3.3,41,1.0
Jacob's Creek Double Barrel Shiraz,Double Barrel Shiraz,Jacob's Creek,3.9,7514,1.0
Joiy Shimmering Bubbles,,,0.0,0,0.0
Joiy Sparkling Rosé,Sparkling Rosé,Joy Wines,2,1,0.8372093023255814
Josh Cellars Chardonnay,Mendocino Adobe Cellars Private Selection Pinot Noir,San Jose(US),4.8,5,0.36363636363636365
Josh Cellars Rosé,Mendocino Adobe Cellars Private Selection Pinot Noir,San Jose(US),4.8,5,0.3170731707317073
Josh Cellars Cabernet Sauvignon,Mendocino Adobe Cellars Private Selection Pinot Noir,San Jose(US),4.8,5,0.375
Josh Cellars Legacy,Mendocino Adobe Cellars Private Selection Pinot Noir,San Jose(US),4.8,5,0.3333333333333333
Kim Crawford Fizz,Fizz Methode Traditionnelle (Small Parcels),Kim Crawford,3.9,183,0.4657534246575342
Kim Crawford Pinot Gris,Pinot Gris (Pinot Grigio),Kim Crawford,3.7,1480,0.7540983606557377
Kim Crawford Sauvignon Blanc,Sauvignon Blanc,Kim Crawford,4,40799,1.0
Kim Crawford South Island Pinot Noir,Pinot Noir,Kim Crawford,3.6,7895,0.7796610169491526
La Marca Prosecco,Prosecco,La Marca,3.8,17443,1.0
Believer Organic White Reserve,Believer Organic Red,,3.3,3,0.76
Believer Organic Shiraz Rosé,Believer Organic Red,,3.3,3,0.75
Believer Organic Reserve,Believer Organic Red,,3.3,3,0.8636363636363636
RAZA Gran Reserva Malbec,Gran Reserva Malbec,Raza,3.5,161,0.875
Sand Point Sauvignon Blanc,Sauvignon Blanc,Sand Point,3.5,425,1.0
Sand Point Merlot,Merlot,Sand Point,3.6,221,1.0
Caricature Cabernet Sauvignon,Cabernet Sauvignon,Caricature,3.7,369,1.0
Ivory & Burt Zinfandel,,,0.0,0,0.0
Layer Cake Sauvignon Blanc,Sauvignon Blanc,Layer Cake,3.4,316,1.0
Layer Cake Rosé,Rosé (of Pinot Noir),Layer Cake,3.4,232,0.6521739130434783
Layer Cake Sea of Stones,Sea of Stones Red,Layer Cake,3.6,950,0.9230769230769231
Longshot Rosé,Rosé,Longhop,3.2,7,0.88
Longshot Pinot Grigio,Pinot Grigio,The Ultimate Longshot,3.5,89,0.7636363636363637
Longshot Chardonnay,Chardonnay,The Ultimate Longshot,3.2,28,0.7450980392156863
Longshot Cabernet Sauvignon,Cabernet Sauvignon,The Ultimate Longshot,3.5,387,0.8059701492537313
Crudo Organic Prosecco,,,0.0,0,0.0
Crudo Organic Cattarratto Zibibbo,,,0.0,0,0.0
Crudo Organic Rosato,,,0.0,0,0.0
Crudo Organic Nero d'Avola Cabernet Sauvignon,,,0.0,0,0.0
Martini Prosecco Extra Dry,Prosecco Extra Dry,Martini,3.7,2232,1.0
Martini Sparkling Rosé,Bugey-Cerdon  Gamay Rosé Sparkling,Lingot Martin,4.5,27,0.4507042253521127
Martini Riserva Speciale Ambrato Vermouth Vermouth,Riserva Speciale Ambrato,Martini,4.1,90,0.7804878048780488
Martini Riserva Speciale Rubino Vermouth Vermouth,Riserva Speciale Rubino,Martini,4.1,175,0.775
Matua Pinot Gris,Pinot Gris,Matua,3.6,348,1.0
Matua Sauvignon Blanc,Sauvignon Blanc,Matua,3.9,23540,1.0
Matua Regional Rosé,Muscat Ottonel Matra Region,Ludányi András,3.3,9,0.36065573770491804
Concerto Lambrusco Reggiano Frizzante,Concerto Lambrusco Reggiano,Medici Ermete,3.7,3293,0.6923076923076923
Malvasia Daphne,Daphne Malvasia Secco,Medici Ermete,3.6,88,0.4
Quercioli Grasparossa Lambrusco,i Quercioli Lambrusco Grasparossa Dolce,Medici Ermete,3.8,801,0.5476190476190477
Quercioli Lambrusco di Sorbara,i Quercioli Lambrusco di Sorbara Secco,Medici Ermete,3.1,55,0.7317073170731707
19 Crimes Hard Chardonnay,Hard Chard,19 Crimes,3.5,3159,0.8888888888888888
19 Crimes Cabernet Sauvignon,Cabernet Sauvignon,19 Crimes,3.7,16212,1.0
19 Crimes SGM,Red (Shiraz - Grenache - Mataro),19 Crimes,3.9,43605,0.4727272727272727
19 Crimes The Uprising Blend,The Uprising Red,19 Crimes,3.9,7076,0.9259259259259259
Old Soul Chardonnay,Chardonnay,Old Soul,3.8,388,1.0
Old Soul Cabernet Sauvignon,Cabernet Sauvignon,Old Soul,3.8,1099,1.0
OZV Rosé,Rosé,OZV,3.4,268,1.0
OZV Old Vine Zinfandel,Old Vine Zinfandel,OZV,3.5,27,1.0
Oyster Bay Cuvee Brut,Sparkling Cuvée Brut,Oyster Bay,3.5,908,0.7692307692307693
Oyster Bay Sauvignon Blanc,Sauvignon Blanc,Oyster Bay,3.8,30313,1.0
Oyster Bay Rosé Rose,Rosé,Oyster Bay,3.4,248,0.8571428571428571
Oyster Bay Merlot,Merlot,Oyster Bay,3.6,4679,1.0
La Mascota Malbec,La Mascota Malbec,Mascota Vineyards,3.8,10565,0.6538461538461539
La Mascota Cabernet Sauvignon,La Mascota Cabernet Sauvignon,Mascota Vineyards,3.7,10786,0.7631578947368421
La Mascota The Big Bat Cabernet Sauvignon,La Mascota Cabernet Sauvignon,Mascota Vineyards,3.7,10786,0.6590909090909091
Grand Mascota Malbec,,,0.0,0,0.0
Pfeiffer Moscato,Moscato,Pfeiffer Wines,4.1,60,0.8421052631578947
Pfeiffer Carlyle Chardonnay Marsanne,Carlyle Chardonnay - Marsanne,Pfeiffer Wines,4,11,0.9
Pfeiffer Carlyle Cabernet Merlot,Carlyle Cabernet - Merlot,Pfeiffer Wines,3.7,76,0.8888888888888888
